Producteur,AssemblageCepage,Millesime,Region,Pays,Contenance,ContenanceUnit,DegreeAlcool,appellation,CommBouche,CommOeil,CommNez,CommVin,Temperature,BestBefore,BestAfter,Prix,PrixDevise,DateCrawl,Couleur,UrlImage,UrlPageVin,UrlSiteSource,NomVin
La Cave d'Augustin Florent,"Grenache, Syrah",2016,Vallée du Rhône,France,75,cl,12.5,Côtes du Rhône,La robe est d'un rouge cerise.,"En bouche, le vin présente une texture charnue et s'exprime sur les fruits rouges et noirs.","Le nez dévoile des arômes de fruits noirs, relevés par des notes d'épices.",Des vins au bon rapport qualité prix: La cave d'Augustin Florent signe ses vins et engage son nom sur cette offre. Un cahier des charges est signé pour chaque référence ; les vins sont dégustés par nos experts et contrôlés par nos laboratoires internes ou externes.,17,,,2.85,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1527512196/lf3uihl0unjgspregt5g.jpg",https://grandsvins.carrefour.fr/product/cave-augustin-florent-pierrasques-rouge-2016,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Les Pierrasques"" Rouge 2016"
La Cave d'Augustin Florent ,Riesling (100%),2016,Alsace,France,37.5,cl,12,Alsace,Une couleur jaune clair aux reflets verts.,"En bouche, une belle vivacité, un vin qui présente un bon équilibre. ",De jolies arômes d'agrumes et de fleurs blanches.,La Cave d'Augustin Florent élabore des vin typique de la région d'Alsace. Un vin produit uniquement à partir du cépage Riesling. ,9,,,3.05,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516279943/xaye36mgcg42winfhslz.jpg",https://grandsvins.carrefour.fr/product/la-cave-d-augustin-florent-16,https://grandsvins.carrefour.fr,"La cave d'Augustin Florent ""riesling"" 2016"
,"Chardonnay, Sauvignon blanc",0,Languedoc-Roussillon,France,75,cl,12.5,Pays d'Oc,La robe est jaune avec des petits reflets dorés,La bouche est vive et fruité,Le nez possède des notes de fleurs blanches,"L'héritage de Carillan est un vin biologique, aromatique et fruité, travaillé avec soin selon les règles de l'agriculture biologique. Le raison sélectionné pour cette cuvée est cultivé selon des processus strictes : sans pesticides de synthèse, sans désherbant, sans engrais chimiques",12,,,3.1,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509291239/kyy0jnib9oevtzyrabhs.jpg",https://grandsvins.carrefour.fr/product/075-igp-d-oc-blanc-chardonnay-sauvignon-hdc-bio-nm-c6,https://grandsvins.carrefour.fr,Héritage de Carillan Chardonnay Sauvignon
,Cabernet Sauvignon,0,Languedoc-Roussillon,France,75,cl,13,Pays d'Oc,La robe est rubis,,Le nez possède de légères notes de fruits rouges,"L'héritage de Carillan est un vin biologique, aromatique et fruité, travaillé avec soin selon les règles de l'agriculture biologique. Le raison sélectionné pour cette cuvée est cultivé selon des processus strictes : sans pesticides de synthèse, sans désherbant, sans engrais chimiques",18,,,3.1,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509290292/brjbuwpyvnj9viuodvl5.jpg",https://grandsvins.carrefour.fr/product/75-igp-oc-rg-merlot-cab-sauv-herit-carillan-mdd-bio-nm-c6,https://grandsvins.carrefour.fr,Héritage de Carillan Merlot-Cabernet Sauvignon
Vinovalie,,2016,Sud-Ouest,France,75,cl,0,Gaillac,La robe est d'un rouge rubis.,"En bouche, le vin s'exprime sur une belle souplesse.",Le nez dévoile des arômes de petits fruits rouges.,Marquis de Paullin un vin que l'on retrouve sur les rives du Tarn entre Toulouse et Albi. ,17,,,3.2,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1527496084/h9rdze2og11zf5p6mxpn.jpg",https://grandsvins.carrefour.fr/product/marquis-de-paullin-rouge-2016,https://grandsvins.carrefour.fr,Marquis de Paullin Rouge 2016
La Cave d'Augustin Florent ,"Cabernet Sauvignon, Merlot",2016,Bordeaux,France,37.5,cl,13,Médoc,La robe est d'un joli rouge grenat.,"En bouche, le vin est à la fois aromatique, souple et pourvu de tanins fins.",Le nez dévoile des arômes de fruits rouges comme la fraise et la cerise.,La Cave d'Augustin Florent élabore des vins typique de la région du Médoc.,17,,,3.2,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1521210711/wlcivra9rctctpuaq4bm.jpg",https://grandsvins.carrefour.fr/product/la-cave-d-augustin-florent-medoc-16,https://grandsvins.carrefour.fr,La Cave d'Augustin Florent 2016
Château Le Paz,"Cabernet Franc, Cabernet Sauvignon, Merlot",2016,Bordeaux,France,75,cl,13.5,Bordeaux,La robe est d'un rouge rubis brillant.,"En bouche, le vin est ample et souple et fait preuve d'un équilibre harmonieux.",Le nez révèle des arômes généreux de fruits rouges.,,17,,,3.2,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1527495544/dijnuhlnlsd8io1ee2d7.jpg",https://grandsvins.carrefour.fr/product/chateau-le-paz-duc-aubert-rouge-2016,https://grandsvins.carrefour.fr,"Duc d'Aubert ""Château Le Paz"" Rouge 2016 "
Château La Lande ,,2016,Sud-Ouest,France,37.5,cl,12.5,Monbazillac,Une jolie couleur dorée.,"En bouche, on retrouve l'abricot et le miel. Une belle rondeur.",Au nez des notes de fruits exotiques et confits.,"Château La Lande, vin de l'appellation Monbazillac, qui produit des vins moelleux. Des vins plein d'exotisme.",9,,,3.2,€,12/10/2018 00:00,Moelleux,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516627351/unlst7awssnlb2rsredk.jpg",https://grandsvins.carrefour.fr/product/chateau-la-lande-16,https://grandsvins.carrefour.fr,Château La Lande 2016
La Cave d'augustin Florent,,2017,Vallée du Rhône,France,75,cl,13,Ventoux,La robe est d'un rose saumon pâle.,"En bouche, le vin est à la fois élégant et très bien équilibré.",Le nez dévoile des arômes de petits fruits rouges.,La Cave d'Augustin Florent élabore des vins typiques de l'appellation du Ventoux des vins de la Vallée du Rhône.,9,,,3.25,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1528465802/ez2o67ftqjvuxzdkuppj.jpg",https://grandsvins.carrefour.fr/product/cave-augustin-florent-ventoux-rose-2017,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Ventoux"" Rosé 2017"
Famille Bougrier,Melon de bourgogne,2017,Vallée de la Loire,France,75,cl,11.5,Muscadet Sèvre et Maine,"La robe est cristalline, avec de jolies reflets verts.","La bouche est légère, souple, fraîche, vive sur des notes légèrement acidulées.","Le nez révèle des notes d'agrumes, de fruits blancs ainsi que de fleurs blanches.","ce muscadet vous fait découvrir millésime après millésime les plus belles expressions du vignoble nantais. Et cela grâce à 10 vignerons qui ont décidé de se regrouper leur savoir-faire, leur expérience et leur enthousiasme pour élever depuis 2000 : &quot;Les Folies Landiers&quot;. 
",9,,,3.3,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1538409388/b2y0xvs5dosduntv7uf0.jpg",https://grandsvins.carrefour.fr/product/75-aoc-muscadet-sm-s-lie-bl-les-folies-landiers-2017-c6,https://grandsvins.carrefour.fr,"Muscadet ""Les folies Landiers"" 2017"
